183,183. Сокровища дракона,2021-08-16,0,0,0,0,2,5.0,2,17,0.11764705882352941
184,184. Принцесса в башне,2021-08-16,0,0,0,0,0,0,0,5,0.0
185,185. Первый полёт дракона,2021-08-16,0,0,0,0,1,5.0,1,35,0.02857142857142857
186,186. Огнедышащий дракон,2021-08-16,0,0,0,0,0,0,0,8,0.0
187,187. Малыш-дракон,2021-08-16,0,0,0,0,0,0,0,10,0.0
188,188. Зубастый китайский дракон,2021-08-16,0,0,0,0,1,5.0,1,17,0.058823529411764705
189,189. Динозавр в гамаке,2021-08-16,0,0,0,0,0,0,0,28,0.0
190,190. Брахиозавр,2021-08-16,0,0,0,0,2,5.0,3,44,0.06818181818181818
191,191. Ягодное пирожное,2021-08-16,0,0,0,0,1,5.0,2,35,0.05714285714285714
192,192. Черепашка-макарун,2021-08-16,0,0,0,0,2,5.0,2,35,0.05714285714285714
193,193. Пончик-меломан,2021-08-16,0,1,0,0,5,4.5,14,180,0.07777777777777778
194,194. Необычное мороженое,2021-08-16,0,0,0,0,2,5.0,6,153,0.0392156862745098
195,195. Лавандовый пончик,2021-08-16,0,0,0,0,11,5.0,17,237,0.07172995780590717
196,196. Котик и леденец,2021-08-16,0,0,0,1,3,4.75,11,198,0.05555555555555555
197,197. Коктейль «Вилли Вонка»,2021-08-16,0,0,0,0,5,5.0,9,56,0.16071428571428573
198,198. Клубничный джем,2021-08-16,0,0,0,0,1,5.0,2,40,0.05
199,199. Единорог с леденцом,2021-08-16,0,0,0,0,3,5.0,7,129,0.05426356589147287
200,200. Вишенка на тортике,2021-08-16,0,0,0,0,0,0,2,11,0.18181818181818182
201,201. Украшение фараона,2021-08-16,0,0,0,0,0,0,0,13,0.0
202, ,2021-08-16, , , , , , ,1,6,0.16666666666666666
203,203. Ожившая мумия,2021-08-16,0,0,0,0,0,0,2,22,0.09090909090909091
204,204. Мяухамон,2021-08-16,0,0,0,0,0,0,3,70,0.04285714285714286
205,205. Маска Анубиса,2021-08-16,0,0,0,0,1,5.0,1,11,0.09090909090909091
206,206. Клеопатра,2021-08-16,0,0,0,0,1,5.0,1,14,0.07142857142857142
207,207. Загадка Сфинкса,2021-08-16,0,0,0,0,1,5.0,1,7,0.14285714285714285
208,208. Диадема Нефертити,2021-08-16,0,0,0,0,0,0,2,25,0.08
209,209. Великие пирамиды,2021-08-16,0,0,0,0,0,0,2,42,0.047619047619047616
210,210. Браслет царя Скарабеев,2021-08-16,0,0,0,0,0,0,1,10,0.1
211,211. Художественная гимнастика,2021-08-16,0,0,0,0,0,0,0,6,0.0
212,212. Футбольный чемпион,2021-08-16,0,0,0,0,0,0,0,9,0.0
213,213. Прыжки со скакалкой,2021-08-16,0,0,0,0,0,0,0,4,0.0
214,214. Необычный баскетбол,2021-08-16,0,0,0,0,0,0,0,3,0.0
215,215. Лучший пловец,2021-08-16,0,0,0,0,0,0,0,3,0.0
216,216. Летняя велопрогулка,2021-08-16,0,0,0,0,1,5.0,4,19,0.21052631578947367
217,217. Крокодилий скейт-парк,2021-08-16,0,0,0,0,0,0,1,5,0.2
218,218. Йога на свежем воздухе,2021-08-16,0,0,0,0,0,0,1,32,0.03125
219,219. Воздушный бадминтон,2021-08-16,0,0,0,0,0,0,0,2,0.0
220,220. Весёлый поход,2021-08-16,0,0,0,0,1,5.0,3,32,0.09375
221,221. Хомячок в панамке,2021-08-16,0,1,0,1,5,4.428571428571429,21,458,0.04585152838427948
222,222. Уточка учится плавать,2021-08-16,0,0,0,0,1,5.0,5,93,0.053763440860215055
223,223. Растаявшее мороженое,2021-08-16,0,0,0,0,3,5.0,16,217,0.07373271889400922
224,224. Папа-русал,2021-08-16,0,0,0,0,0,0,3,120,0.025
225,225. Ныряем к рыбкам,2021-08-16,0,0,0,1,3,4.75,9,109,0.08256880733944955
226,226. Неуклюжий авокадо,2021-08-16,0,0,0,0,6,5.0,17,362,0.04696132596685083
227,227. Летние подсолнухи,2021-08-16,0,0,0,0,4,5.0,7,177,0.03954802259887006
228,228. Закат на летних островах,2021-08-16,0,0,0,0,2,5.0,13,266,0.04887218045112782
229,229. Жарим маршмеллоу,2021-08-16,0,0,0,0,0,0,1,51,0.0196078431372549
230,230. Больше не нужно в школу,2021-08-16,0,0,0,0,3,5.0,7,100,0.07
231, ,2021-08-16, , , , , , ,3,17,0.17647058823529413
232,232. Счастливый лонгбордист,2021-08-16,0,0,0,0,0,0,1,6,0.16666666666666666
233,233. Снежный монстрик,2021-08-16,0,0,0,0,1,5.0,1,9,0.1111111111111111
234,234. Семейка кругликов,2021-08-16,0,0,0,1,0,4.0,2,37,0.05405405405405406
235,235. Прекрасный ангелочек,2021-08-16,0,0,0,0,0,0,1,3,0.3333333333333333
236,236. Осознанный монстрик,2021-08-16,0,0,0,0,1,5.0,1,3,0.3333333333333333
237,237. Необычная балерина,2021-08-16,0,0,0,0,0,0,0,0,0
238,238. Монстрик-музыкант,2021-08-16,0,0,0,0,0,0,0,8,0.0
239,239. Монстрик в библиотеке,2021-08-16,0,0,0,0,0,0,0,5,0.0
240,240. Добрый зубастик,2021-08-16,0,0,0,0,3,5.0,6,29,0.20689655172413793
241,241. Сторожевая собачка,2021-08-16,0,0,1,0,1,4.0,4,35,0.11428571428571428
242,242. Саламандра,2021-08-16,0,0,0,0,3,5.0,4,64,0.0625
243,243. Носорог и птичка,2021-08-16,0,0,0,0,1,5.0,1,8,0.125
244,244. Мышонок волшебник,2021-08-16,0,1,0,0,1,3.5,2,24,0.08333333333333333
245,245. Монстрик,2021-08-16,0,0,0,0,2,5.0,2,27,0.07407407407407407
246,246. Зубастый крокодил,2021-08-16,0,0,0,0,1,5.0,2,45,0.044444444444444446
247,247. Жадный котёнок,2021-08-16,0,0,0,1,2,4.666666666666667,7,135,0.05185185185185185
248,248. Волшебный рожок,2021-08-16,0,0,0,0,4,5.0,5,108,0.046296296296296294
249,249. Веселый бегемотик,2021-08-16,0,0,0,0,0,0,0,15,0.0
250,250. Братья авокадо,2021-08-16,0,0,0,0,4,5.0,7,117,0.05982905982905983
251,251. Тарелкомобилисты,2021-08-16,0,0,0,0,0,0,0,13,0.0
252,252. Таинственный кораблик,2021-08-16,0,0,0,0,0,0,0,8,0.0
253,253. Страна Вкусляндия,2021-08-16,0,0,0,0,1,5.0,3,22,0.13636363636363635
254,254. Праздничный самолёт,2021-08-16,0,0,0,0,0,0,0,14,0.0
255,255. Полосатая поездка,2021-08-16,0,0,0,0,0,0,0,2,0.0
256,256. Морской пират,2021-08-16,0,0,0,0,0,0,0,14,0.0
257,257. Крутой гонщик,2021-08-16,0,0,0,0,1,5.0,1,30,0.03333333333333333
258,258. Космическая ракета,2021-08-16,0,0,0,0,1,5.0,1,15,0.06666666666666667
259,259. Волшебный трамвайчик,2021-08-16,0,0,0,0,2,5.0,3,13,0.23076923076923078
260, ,2021-08-16, , , , , , ,0,4,0.0
261,261. Царевна лягушка,2021-08-16,0,0,0,0,0,0,1,14,0.07142857142857142
262,262. Волшебное озеро,2021-08-16,0,0,0,0,3,5.0,5,23,0.21739130434782608
263,263. Царевна лебедь,2021-08-16,0,0,0,0,0,0,1,21,0.047619047619047616
264,264. Репка,2021-08-16,0,0,0,0,0,0,2,15,0.13333333333333333
265,265. Леший,2021-08-16,0,0,0,0,0,0,1,16,0.0625
266,266. Кот учёный,2021-08-16,0,0,0,0,0,0,0,5,0.0
267,267. Избушка на курьих ножках,2021-08-16,0,0,0,0,0,0,0,15,0.0
268,268. Змей горыныч,2021-08-16,0,0,0,0,1,5.0,2,24,0.08333333333333333
269,269. Домовенок,2021-08-16,0,0,0,0,0,0,0,8,0.0
270,270. Богатырь,2021-08-16,0,0,0,1,1,4.5,2,35,0.05714285714285714
271,271. Такса на пляже,2021-08-16,0,0,0,0,3,5.0,7,81,0.08641975308641975
272,272. Радужная собачка,2021-08-16,0,0,0,0,0,0,5,77,0.06493506493506493
273,273. Пёсик-космонавт,2021-08-16,0,0,0,0,1,5.0,1,16,0.0625
274,274. Пёсик-аквалангист,2021-08-16,0,0,0,0,1,5.0,1,26,0.038461538461538464
275,275. Принцесса Русалка,2021-08-16,0,0,0,0,0,0,1,11,0.09090909090909091
276,276. Мопсозаврик,2021-08-16,0,0,0,0,0,0,0,14,0.0
277,277. Мечтательный пудель,2021-08-16,0,0,0,0,0,0,1,14,0.07142857142857142
278,278. Инопланетный пёсик,2021-08-16,0,0,0,0,0,0,0,10,0.0
279,279. Гаф-кофе,2021-08-16,1,0,0,0,3,4.0,8,98,0.08163265306122448
280,280. Веселая такса,2021-08-16,0,0,0,0,2,5.0,2,34,0.058823529411764705
281,281. Рыбка фонарик,2021-08-16,0,0,0,0,0,0,0,9,0.0
282,282. Радужная рыбка,2021-08-16,0,0,0,0,2,5.0,3,60,0.05
283,283. Модные осминожки,2021-08-16,0,1,0,0,1,3.5,10,139,0.07194244604316546
284,284. Любопытный кит,2021-08-16,0,0,0,0,0,0,0,25,0.0
285,285. Жители актинии,2021-08-16,0,0,0,0,0,0,1,7,0.14285714285714285
286,286. Волшебная бутылочка,2021-08-16,0,0,0,0,1,5.0,1,13,0.07692307692307693
287,287. Вид со дна океана,2021-08-16,0,0,0,0,1,5.0,7,110,0.06363636363636363
288,288. Вечеринка медуз,2021-08-16,0,0,0,0,0,0,0,7,0.0
289,289. Веселый китёнок,2021-08-16,0,0,0,0,0,0,0,15,0.0
290,290. Акула-зубастик,2021-08-16,0,0,0,0,0,0,1,46,0.021739130434782608
291, ,2021-08-16, , , , , , ,0,11,0.0
292,292. Тигрулина почта,2021-08-16,0,0,0,0,0,0,0,9,0.0
293,293. Супер Енот,2021-08-16,0,0,0,0,0,0,1,11,0.09090909090909091
294,294. Солнечный котик,2021-08-16,0,0,0,0,0,0,0,39,0.0
295,295. Полосатая рыбка,2021-08-16,0,0,0,0,0,0,0,24,0.0
296, ,2021-08-16, , , , , , ,3,22,0.13636363636363635
297,297. Радужная русалочка,2021-08-16,0,0,0,0,3,5.0,6,144,0.041666666666666664
298,298. Маленькая зебра,2021-08-16,0,0,0,0,1,5.0,1,10,0.1
299,299. Акулий День Рождения,2021-08-16,0,0,0,0,3,5.0,4,34,0.11764705882352941
300,300. Щенок-единорог,2021-08-16,0,0,0,0,0,0,4,102,0.0392156862745098
301,301. Сладкое проишествие,2021-08-16,0,0,0,0,1,5.0,3,6,0.5
302,302. Радужная лама,2021-08-16,0,0,0,0,0,0,0,5,0.0
303,303. Кудрявый единорог,2021-08-16,0,0,0,0,1,5.0,1,29,0.034482758620689655
304,304. Котик-радуга,2021-08-16,0,0,0,0,2,5.0,4,140,0.02857142857142857
305,305. Космический единорог,2021-08-16,0,0,0,0,1,5.0,1,25,0.04
306,306. Кексик-единорог,2021-08-16,1,0,0,0,5,4.333333333333333,19,423,0.04491725768321513
307,307. Закладка-единорог,2021-08-16,0,0,0,0,0,0,1,18,0.05555555555555555
308,308. Единорог-балерина,2021-08-16,0,0,0,0,0,0,1,42,0.023809523809523808
309,309. Волшебное путешествие,2021-08-16,0,0,0,0,1,5.0,1,8,0.125
310,310. Божья коровка с клевером,2021-08-16,0,0,0,0,0,0,0,33,0.0
311, ,2021-08-16, , , , , , ,2,14,0.14285714285714285
312,312. Волшебная стрекоза,2021-08-16,0,0,0,0,1,5.0,3,53,0.05660377358490566
313, ,2021-08-16, , , , , , ,0,4,0.0
314,314. Гусеничка в свитере,2021-08-16,0,0,0,0,0,0,0,9,0.0
315, ,2021-08-16, , , , , , ,1,15,0.06666666666666667
